Tên dược liệu,Link ảnh
Vân chi,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/van-chi-2-360x335.png
Sò huyết,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/so-huyet-2-360x333.png
Vắp,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/vap-1-360x357.png
Vảy ốc,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/vay-oc-3-360x332.png
Tước sàng,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/tuoc-sang-2-360x334.png
Tử vi,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/tu-vi-3-360x333.png
Tục tùy tử,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/tuc-tuy-tu-360x334.png
Tra vồ,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/tra-vo-3-360x345.png
Trư linh,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/tru-linh-360x339.png
Trạng nguyên,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/trang-nguyen-2-360x333.png
Quan âm núi,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/quan-am-nui-1-292x360.png
Hồ điệp hoa,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/ho-diep-hoa-1-360x357.png
Sói rừng,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/soi-rung-3-360x347.png
Hoa mặt trời (Dã quỳ),https://tracuuduoclieu.vn/wp-content/uploads/2021/06/hoa-mat-troi-2-360x333.png
Hoa huệ,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/hoa-hue-2-360x313.png
Hoa giẻ Nam Bộ,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/gie-2-360x334.png
Hoa chùm ớt,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/hoa-chum-ot-2-360x332.png
Hoa chông,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/hoa-chong-3-360x360.png
Hành tăm,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/hanh-tam-1-360x353.png
Đậu biếc,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/dau-biec-1-360x352.png
Cóc kèn leo,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/coc-ken-leo-2-360x335.png
Xuyến chi,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/co-mui-3-360x360.png
Cỏ mục túc,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/co-muc-tuc-360x352.png
Cỏ mẹ,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/co-me-1-360x334.png
Gừng dại tía,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/gung-dai-tia-360x360.png
Đỏm lông,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/dom-long-3-360x360.png
Điền thanh gai,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/dien-thanh-gai-2-360x360.png
Đề,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/de-2-1-360x360.png
Đậu vuông,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/dau-vuong-2-360x360.png
Đậu tương dại,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/dau-tuong-dai-1-360x360.png
Đậu răng ngựa,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/dau-rang-ngua-1-360x360.png
Mảnh cộng,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/manh-cong-1-360x360.png
Mã biên thảo,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/ma-bien-thao-1-360x360.png
Lưỡi cọp đỏ,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/luoi-cop-do-2-360x360.png
Lục lặc lá dài,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/luc-lac-la-dai-2-360x360.png
Lúa mạch,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/lua-mach-2-360x332.png
Lúa mì,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/lua-mi-2-360x353.png
Lồng đèn,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/tam-bop-4-360x333.png
Liễu bách,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/lieu-bach-2-360x333.png
Lát hoa,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/lat-hoa-4-360x360.png
Lan kiếm,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/lan-kiem-1-360x360.png
Lan hoa sâm,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/lan-hoa-sam-2-360x360.png
Lá diễn tàu,https://tracuuduoclieu.vn/wp-content/uploads/2018/04/la-dien1.jpg
Khôi nước,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/khoi-nuoc-1-360x360.png
Khoai trời,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/khoai-troi-2-1-360x338.png
Kháo lông,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/khao-long-1-360x360.png
Kê,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/ke-1-360x360.png
Húng dũi,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/hung-dui-1-360x360.png
Hồ lô ba,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/ho-lo-ba-3-360x333.png
Đậu mỏ,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/dau-mo-1-360x360.png
Đăng tiêu,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/dang-tieu-2-360x360.png
Đay sợi,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/day-soi2-360x360.png
Dứa thơm,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/dua-nep-2-360x350.png
Dưa leo dại,https://tracuuduoclieu.vn/wp-content/uploads/2021/07/dua-dai-1-360x343.jpg
Cây cứt ngựa,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/cay-cut-ngua-1-360x333.jpg
Cây cóc,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/cay-coc-1-360x360.jpg
Cây bún,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/cay-bun-1-360x360.jpg
Cần thăng,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/can-thang-1-360x263.png
Cần hôi,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/can-hoi-1-360x360.jpg
Cáp điền,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/cap-dien-1-360x332.jpg
Cang mai,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/cang-mai-1-360x360.jpg
Cải sen,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/cai-sen-2-360x335.jpg
Dẻ trùng khánh,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/de-trung-khanh-2-360x358.png
Dưa bở,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/dua-bo-3-360x360.png
Dung lá táo,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/dung-la-tao-360x360.png
Dong riềng (khoai riềng),https://tracuuduoclieu.vn/wp-content/uploads/2021/06/dong-rieng-2-360x360.png
Dó tròn,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/do-tron-1-360x333.png
Dó hẹp,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/do-hep-3-360x360.png
Mao lương,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/mao-luong-1-360x333.png
Mao tử tàu,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/mao-tu-tau-1-360x333.png
Một dược,https://tracuuduoclieu.vn/wp-content/uploads/2021/01/mot-duoc-360x360.jpg
Mộc nhĩ trắng,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/moc-nhi-trang1-360x360.png
Mùng quân,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/mung-quan-3-360x360.png
Dền đuôi chồn,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/den-duoi-chon-1-360x345.png
Dây thần thông,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/day-than-thong-1-360x360.png
Dây lim,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/day-lim-2-360x360.png
Dâm xanh,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/dam-xanh-1-360x360.png
Độc biển đậu,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/doc-dau-360x360.jpg
Đơn buốt lá xẻ,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/don-buot-la-xe-360x360.png
Đơn nem,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/don-nem-2-360x360.png
Đuôi chồn quả đen,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/duoi-chon-qua-den-2-360x334.png
Đu đủ rừng,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/du-du-rung-1-360x352.png
Gai kim,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/gai-kim-2-1-360x334.png
Gáo tròn,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/gao-tron-2-360x357.png
Guột găng,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/guot-gang-3-360x360.png
Dạ hương,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/da-huong-3-360x360.png
Dạ hợp,https://tracuuduoclieu.vn/wp-content/uploads/2018/03/magnolia-coco-lour-dc-da-hop-360x360.jpg
Dây ông lão,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/day-lao-ong-2-360x360.png
Cườm rụng,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/cuom-rung-2-360x360.png
Cúc sao,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/cuc-sao-1-360x350.png
Cúc lục lăng,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/luc-lang-3-360x360.png
Củ từ,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/cu-tu-1-360x333.png
Cơm cháy tròn,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/com-chay-tron-1.png
Củ trâu,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/cu-trau-1-360x360.png
Củ dền,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/cu-den-2-360x360.png
Cọ xẻ,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/co-xe-3-360x360.png
Cỏ thạch sùng,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/co-thach-sung-3-360x360.png
Cỏ mắt gà,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/co-mat-ga-2-360x324.png
Cỏ đuôi chồn,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/co-duoi-chon-2-360x360.png
Cỏ đậu hai lá,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/co-dau-hai-la-1-303x360.png
Cỏ chét ba,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/co-chet-ba-1-360x360.png
Chút chít nhăn,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/chut-chit-2-360x319.png
Chuỗi tiền,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/chuoi-tien-2-360x360.png
Chuối hoa,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/chuoi-hoa-2-360x360.png
Chôm chôm,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/chom-chom-3-360x333.png
Chổi đực dại,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/choi-duc-2-360x360.png
Chóc máu,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/choc-mau-302x360.png
Chè đắng rừng,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/che-dang-rung-360x333.png
Chân danh tàu,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/chan-danh-tau-3-360x332.png
Cây cứt quạ,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/cay-cut-qua-2-360x360.jpg
Cây đầu heo,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/dau-heo-2-360x360.png
Cây giá,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/cay-gia-1-360x332.png
Cây lá lụa,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/cay-la-lua-2-360x347.png
Cây sanh,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/cay-sanh-2-281x360.png
Cây tổ ong,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/cay-to-ong-3-360x335.png
Cây trứng cá,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/trung-ca-4-360x360.png
Cây tu hú,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/cay-tu-hu-2-360x337.png
Cây vọt,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/cay-vot-1-360x360.png
Chà là đồi,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/cha-la-3-360x349.png
Chạc ba,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/chac-ba-2-360x360.png
Chàm bụi,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/cham-bui-2-360x360.png
Chàm quả nhọn,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/cham-qua-nho-2-360x359.png
Cải ma lùn,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/cai-ma-lun-2-360x342.jpg
Cách vàng,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/cach-vang-360x295.jpg
Cà phấn tàu,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/ca-phan-tau-1-360x360.jpg
Bung lai,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/bung-lai-360x360.jpg
Bún thiêu,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/bun-thieu-2-360x360.jpg
Bòi ngòi tai,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/boi-ngoi-1-360x305.jpg
Bìm bìm dại,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/bim-bim-dai-1-360x360.jpg
Bèo hoa dâu,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/beo-hoa-dau-3-360x360.jpg
Bằng lăng nước,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/bang-lang-nuoc-2-360x360.jpg
Bàng hôi,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/bang-hoi-2-360x360.jpg
Bản lan căn,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/ban-lan-can-2-360x360.jpg
Ban tròn,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/ban-tron-1-360x360.jpg
Bại tượng,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/bai-tuong-1-360x360.jpg
Bạch đầu ông,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/bach-dau-ong-360x360.jpg
Bạch cổ đinh,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/bach-co-dinh-360x360.png
An điền cỏ,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/an-dien-co-3-360x298.jpg
Dứa cơm nếp,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/dua-nep-3-360x333.png
Dướng nhỏ,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/duong-nho-1-360x360.png
Đa lá tròn,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/da-la-tron-3-360x360.png
Đại bi lá lượn,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/bai-bi-la-lon-3-281x360.png
Bạc thau hoa đầu,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/bac-thau-hoa-dau-360x360.jpg
Âm địa quyết,https://tracuuduoclieu.vn/wp-content/uploads/2021/06/am-dia-quyet-2-360x360.jpg
Bóng nước,https://tracuuduoclieu.vn/wp-content/uploads/2018/03/hoa-bong-nuoc-duoc-lieu-tue-linh.jpg
Băng phiến,https://tracuuduoclieu.vn/wp-content/uploads/2021/08/bang-phien-360x336.png
Bạch vi,https://tracuuduoclieu.vn/wp-content/uploads/2021/08/bach-vi-3-360x338.png
